date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:56:48	103382/103382	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/5ff582d89b6f7.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/5ff582d89b6f7.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/6)
15:56:48	59385/59385	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/5fed736923f5a.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/5fed736923f5a.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/6)
15:56:48	30361/-1	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202022%2013:56:48%20GMT	https://www.sdchinamachine.com/cant-the-small-roller-hit-the-car16385092986696233.html	/home/titouan/websites/test/www.sdchinamachine.com/cant-the-small-roller-hit-the-car16385092986696233.html	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
15:56:50	56801/56801	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/5fe426624b476.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/5fe426624b476.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/6)
15:56:50	78673/78673	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/5fdd6f356cec3.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/5fdd6f356cec3.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/6)
15:56:50	85586/85586	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/5fd99c3cde287.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/5fd99c3cde287.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/6)
15:56:50	223522/223522	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/5fb1e6235f2ea.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/5fb1e6235f2ea.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/6)
15:56:50	61519/61519	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/5fd8782fe6a15.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/5fd8782fe6a15.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/6)
15:56:50	298822/298822	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/5fb1e4890ab06.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/5fb1e4890ab06.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/6)
15:56:51	29065/-1	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202022%2013:56:50%20GMT	https://www.sdchinamachine.com/how-to-identify-the-quality-of-used-excavators16382375360988873.html	/home/titouan/websites/test/www.sdchinamachine.com/how-to-identify-the-quality-of-used-excavators16382375360988873.html	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
15:56:52	228786/228786	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/16036999779024323/banner_image/5fb1e2a8d2a08.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/16036999779024323/banner_image/5fb1e2a8d2a08.jpg	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/6)
15:56:52	144829/144829	URF---	200	added ('OK%20(cached)')	image/jpeg		http://resourcewebsite.singoo.cc/attached/20211228085921_91170.jpg	/home/titouan/websites/test/resourcewebsite.singoo.cc/attached/20211228085921_91170.jpg	(from https://www.sdchinamachine.com/22-ht10-small-excavators-sent-to-europe16406819799686549.html)
15:56:52	29345/-1	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202022%2013:56:52%20GMT	https://www.sdchinamachine.com/noise-imaging-analysis-of-small-excavator16379771720903437.html	/home/titouan/websites/test/www.sdchinamachine.com/noise-imaging-analysis-of-small-excavator16379771720903437.html	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
15:56:54	30803/-1	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202022%2013:56:53%20GMT	https://www.sdchinamachine.com/common-sense-of-maintenance-and-oil-change-of-mechanical-transmission-system-of-small-vibratory-roller16378213332654636.html	/home/titouan/websites/test/www.sdchinamachine.com/common-sense-of-maintenance-and-oil-change-of-mechanical-transmission-system-of-small-vibratory-roller16378213332654636.html	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
15:56:56	32557/-1	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202022%2013:56:55%20GMT	https://www.sdchinamachine.com/the-current-situation-and-development-direction-of-small-excavator-industry16375627439467917.html	/home/titouan/websites/test/www.sdchinamachine.com/the-current-situation-and-development-direction-of-small-excavator-industry16375627439467917.html	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
15:56:58	31061/-1	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202022%2013:56:57%20GMT	https://www.sdchinamachine.com/what-kind-of-road-compaction-operation-is-suitable-for-the-walk-behind-roller16373079642081976.html	/home/titouan/websites/test/www.sdchinamachine.com/what-kind-of-road-compaction-operation-is-suitable-for-the-walk-behind-roller16373079642081976.html	(from https://www.sdchinamachine.com/news.html/p/1.html"/p/2)
